,ID,Name,Age,OVA,Nationality,Club,BP,POT,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,PAC,SHO,PAS,DRI,DEF,PHY
6387,216267,A. Robertson,26,87,Scotland,Liverpool,LB,89,90,57,67,82,32,80,82,38,76,82,79,85,78,84,74,78,62,95,65,65,85,82,77,79,55,83,83,84,81,82,62,80,80,81,76
5136,209499,Fabinho,26,87,Brazil,Liverpool,CDM,89,75,63,75,85,47,76,71,53,83,82,66,68,66,84,65,81,75,88,81,70,86,87,70,79,90,84,86,87,85,67,69,79,77,85,83
6605,218667,Bernardo Silva,25,87,Portugal,Manchester City,RW,88,85,79,51,86,70,92,84,67,76,92,85,78,94,85,92,76,51,93,54,76,69,49,85,85,68,87,49,59,40,81,77,83,92,51,67
3619,200104,H. Son,27,87,Korea Republic,Tottenham Hotspur,LM,87,81,86,68,83,81,88,85,70,70,87,86,90,86,89,78,88,56,87,64,90,62,39,88,83,73,88,50,34,33,88,86,80,87,43,69
1373,176580,L. Suárez,33,87,Uruguay,Atlético Madrid,ST,87,80,92,84,83,90,84,86,82,77,84,72,68,76,92,78,89,69,78,85,88,87,41,91,84,83,85,57,45,38,70,90,82,83,51,83
2290,188567,P. Aubameyang,31,87,Gabon,Arsenal,ST,87,76,91,75,77,84,80,81,76,64,82,91,94,77,88,68,82,75,80,74,78,43,48,93,77,78,88,27,29,36,93,86,75,80,38,69
3102,194765,A. Griezmann,29,87,France,FC Barcelona,ST,87,83,88,83,84,87,87,86,85,82,89,80,79,91,92,83,81,90,86,63,82,73,49,89,85,86,89,59,54,49,79,85,84,88,57,72
1892,183898,A. Di María,32,87,Argentina,Paris Saint-Germain,RW,87,88,79,51,83,78,88,89,88,80,87,82,83,94,84,76,83,72,78,60,86,73,42,84,88,73,86,41,55,52,83,81,85,88,48,68
1411,177003,L. Modrić,34,87,Croatia,Real Madrid,CM,87,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,68,84,58,82,62,79,78,90,82,92,68,75,71,73,76,89,88,71,66
3914,201942,Roberto Firmino,28,87,Brazil,Liverpool,CF,87,73,80,75,87,85,90,81,65,76,91,78,77,85,90,86,82,81,88,74,77,75,58,86,86,72,88,60,64,42,77,80,81,90,61,78
458,138956,G. Chiellini,35,87,Italy,Juventus,CB,87,54,33,83,65,45,59,60,31,65,61,60,70,57,82,57,78,87,54,87,49,90,88,28,50,50,84,94,90,88,66,46,58,60,90,79
2435,189511,Sergio Busquets,31,87,Spain,FC Barcelona,CDM,87,62,67,68,89,44,81,66,68,83,88,40,43,67,84,50,61,66,81,75,54,81,85,77,84,60,93,86,83,80,42,62,80,80,83,77
2787,192387,C. Immobile,30,87,Italy,Lazio,ST,87,55,93,81,80,85,83,70,51,53,84,82,85,75,90,77,86,77,78,77,80,77,40,93,71,88,86,34,33,32,84,88,67,83,39,77
1426,177182,J. Maatje,33,86,Netherlands,Netherlands,ST,91,61,93,91,68,,72,,81,31,82,85,87,,88,,88,,71,81,84,31,85,91,,94,,20,32,,86,90,58,78,45,68
3875,201535,R. Varane,27,86,France,Real Madrid,CB,88,42,46,85,78,42,55,46,52,77,79,79,85,62,86,39,52,81,75,86,53,80,87,52,59,43,83,89,87,86,82,49,64,64,87,82
3519,199556,M. Verratti,27,86,Italy,Paris Saint-Germain,CM,87,75,60,55,90,64,90,78,64,89,90,68,61,91,87,94,56,65,76,53,58,89,85,71,88,64,94,78,82,83,64,60,85,90,79,67
3171,195864,P. Pogba,27,86,France,Manchester United,CM,87,80,75,75,86,84,87,85,82,91,90,66,79,73,81,66,90,82,83,89,82,78,64,81,88,83,87,63,67,65,73,81,86,85,66,85
4462,204963,Carvajal,28,86,Spain,Real Madrid,RB,86,84,51,72,83,49,78,76,47,74,84,79,80,79,84,81,68,77,89,74,47,84,83,75,74,45,82,83,83,85,80,54,78,80,82,80
1566,178603,M. Hummels,31,86,Germany,Borussia Dortmund,CB,86,65,55,87,82,60,69,66,53,86,81,46,67,63,87,60,71,68,65,86,51,71,91,56,80,68,89,90,88,86,58,58,77,72,89,77
538,143076,A. Gómez,32,86,Argentina,Atalanta,CAM,86,83,80,38,86,72,87,82,79,77,86,94,86,93,86,94,76,70,73,44,82,56,40,82,87,72,85,50,30,34,90,79,84,88,39,55
1612,179813,E. Cavani,32,86,Uruguay,Paris Saint-Germain,ST,86,68,87,89,75,88,75,75,76,52,79,74,76,74,88,59,88,88,90,79,77,84,54,92,75,85,80,57,48,39,75,85,70,76,55,83
2452,189596,T. Müller,30,86,Germany,FC Bayern München,CAM,86,85,85,81,84,84,75,81,59,78,82,68,68,73,94,71,78,77,86,66,81,62,58,94,85,60,84,47,57,46,68,82,82,78,56,71
5046,208830,J. Vardy,33,86,England,Leicester City,ST,86,68,92,79,69,82,77,67,57,48,81,90,87,72,90,75,87,79,79,68,65,87,49,92,73,84,87,57,50,53,88,85,66,78,55,75
1869,183711,J. Henderson,30,86,England,Liverpool,CDM,86,82,73,65,86,71,78,80,74,87,84,66,65,69,86,68,77,78,91,78,75,84,85,78,83,64,82,84,83,77,65,74,84,79,81,82
104,10535,Xavi,34,86,Spain,FC Barcelona,CAM,86,85,74,51,93,66,80,85,87,90,93,67,65,79,90,90,67,53,60,60,72,53,71,83,94,75,,55,61,59,66,72,90,85,60,58
1453,177509,M. Benatia,31,86,Morocco,Juventus,CB,86,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,71,45,54,64,87,84
2398,189332,Jordi Alba,31,86,Spain,FC Barcelona,LB,86,85,73,70,84,60,81,80,63,79,84,88,88,90,82,85,64,80,88,61,66,76,81,83,78,59,80,74,80,82,88,69,81,83,78,72
643,152729,Piqué,33,86,Spain,FC Barcelona,CB,86,57,65,84,81,57,63,58,43,81,80,48,64,57,88,35,62,74,69,87,51,79,87,64,72,69,87,88,86,84,57,61,71,67,86,80
1050,168542,David Silva,34,86,Spain,Real Sociedad,CAM,86,84,72,53,92,82,86,82,77,84,91,68,61,85,87,87,72,64,70,46,73,56,50,86,91,75,92,58,53,29,64,74,88,88,52,55
10354,235790,K. Havertz,21,85,Germany,Chelsea,CAM,93,73,85,78,84,80,86,84,53,78,87,78,88,78,85,74,74,75,82,69,78,42,38,84,82,73,84,39,46,38,84,81,79,85,45,67
10212,235243,M. de Ligt,20,85,Netherlands,Juventus,CB,92,52,50,86,75,45,66,48,55,74,76,68,75,56,84,60,82,84,76,88,66,83,83,44,63,40,82,86,85,82,72,59,66,69,85,84
9317,231677,M. Rashford,22,85,England,Manchester United,RM,91,77,83,68,81,73,87,82,76,69,85,89,93,86,86,75,90,72,87,76,81,73,42,82,82,81,82,47,40,33,91,83,78,86,45,78
7226,222492,L. Sané,24,85,Germany,FC Bayern München,LM,90,83,81,72,81,85,88,83,82,64,85,91,95,84,79,78,87,64,70,69,78,61,34,84,82,71,80,36,32,35,93,81,79,86,38,67
8489,228702,F. de Jong,23,85,Netherlands,FC Barcelona,CM,90,75,63,66,90,69,87,84,64,86,88,80,80,83,88,79,68,76,90,74,61,70,82,73,86,45,90,76,76,77,80,64,84,87,76,77
4868,207865,Marquinhos,26,85,Brazil,Paris Saint-Germain,CB,89,68,33,84,82,31,64,55,32,82,79,70,73,69,85,67,61,89,80,75,35,80,86,59,68,47,86,87,87,87,72,41,73,70,87,78
9462,232363,M. Škriniar,25,85,Slovakia,Inter,CB,89,40,42,82,73,40,67,34,30,69,69,70,68,48,83,51,50,78,73,84,30,86,86,30,57,56,81,92,87,83,69,41,59,66,87,81
6844,220440,C. Lenglet,25,85,France,FC Barcelona,CB,89,55,39,83,78,37,57,59,31,74,76,76,72,61,84,60,58,85,75,83,46,80,87,54,66,49,82,90,86,81,74,45,67,65,87,81
7499,223848,S. Milinković-Savić,25,85,Serbia,Lazio,CM,89,64,80,86,85,74,86,78,75,85,88,66,72,64,83,63,83,85,85,88,80,79,78,79,85,56,84,78,79,74,69,79,80,83,79,85
5627,212188,T. Werner,24,85,Germany,Chelsea,ST,88,69,88,78,78,86,84,70,58,55,85,93,89,83,87,76,85,75,83,67,78,63,37,88,65,78,82,39,20,19,91,85,69,84,35,71
4035,202556,M. Depay,26,85,Netherlands,Olympique Lyonnais,CAM,88,83,83,65,81,74,85,85,86,74,84,85,87,80,82,79,87,76,81,81,83,75,28,84,84,73,78,29,31,20,86,83,81,84,32,80
9351,231866,Rodri,24,85,Spain,Manchester City,CDM,88,63,64,75,85,59,76,65,54,82,82,66,65,68,82,69,74,69,84,79,76,76,83,75,82,46,85,83,84,78,65,68,77,77,82,79
5253,210243,Ricardo Pereira,26,85,Portugal,Leicester City,RB,87,82,63,65,83,59,82,78,52,78,82,84,83,79,85,79,74,75,88,69,64,79,81,75,77,61,81,82,84,83,83,66,79,82,81,76
4680,206113,S. Gnabry,24,85,Germany,FC Bayern München,RM,87,79,85,42,79,83,87,74,62,74,83,90,76,86,85,88,86,65,78,69,81,63,38,85,83,68,80,45,44,43,82,83,78,86,43,70
3847,201399,M. Icardi,27,85,Argentina,Paris Saint-Germain,ST,86,47,90,88,76,85,76,76,48,54,82,74,73,73,86,75,85,93,66,72,71,56,22,92,72,82,83,45,24,20,73,85,65,78,36,68
5023,208670,H. Ziyech,27,85,Morocco,Chelsea,CAM,86,88,73,53,86,74,83,90,78,89,85,83,77,85,84,78,83,37,80,59,77,73,52,82,89,67,79,44,56,40,80,76,87,84,50,66
2802,192505,R. Lukaku,27,85,Belgium,Inter,ST,86,73,86,85,79,77,78,78,66,71,78,77,84,60,86,46,87,71,73,95,74,71,27,86,78,78,83,30,41,30,81,83,76,75,38,84
1951,184344,L. Bonucci,33,85,Italy,Juventus,CB,85,44,48,84,77,58,69,56,61,84,75,58,62,60,84,55,74,85,66,79,65,82,90,38,74,70,86,90,86,80,60,58,69,70,87,77
1941,184267,Y. Brahimi,28,85,Algeria,FC Porto,RW,85,79,76,46,79,73,93,84,78,72,86,87,75,92,84,90,69,72,85,49,76,46,38,83,79,75,90,51,36,25,80,75,78,90,41,59
2559,190460,C. Eriksen,28,85,Denmark,Inter,CAM,85,86,77,52,90,80,77,89,85,87,90,74,70,77,84,80,84,49,92,56,89,46,56,82,90,67,86,59,57,22,72,81,88,81,53,63
2674,191043,Alex Sandro,29,85,Brazil,Juventus,LB,85,84,55,76,81,68,80,78,59,71,81,78,83,78,84,77,80,79,90,77,72,82,82,70,70,60,80,80,81,82,81,65,77,80,81,81
1675,181291,G. Wijnaldum,29,85,Netherlands,Liverpool,CM,85,72,75,78,88,73,85,78,73,81,88,77,76,84,86,88,78,81,93,74,73,75,79,79,79,74,86,78,79,69,76,75,81,86,78,79
2264,188377,K. Walker,30,85,England,Manchester City,RB,85,81,51,74,78,57,79,76,71,76,79,90,94,66,84,69,86,83,89,79,69,78,80,68,69,63,75,77,83,82,92,63,76,77,80,82
910,164240,Thiago Silva,35,85,Brazil,Chelsea,CB,85,60,40,81,80,61,67,62,61,80,79,57,61,67,81,66,71,90,71,82,65,76,88,59,70,60,86,87,86,84,59,54,72,71,86,78
1331,175943,D. Mertens,33,85,Belgium,Napoli,CF,85,79,84,40,82,70,88,82,79,74,89,90,82,94,86,92,80,58,70,37,81,59,36,85,83,79,81,25,40,40,86,82,80,89,35,51
2261,188350,M. Reus,31,85,Germany,Borussia Dortmund,CAM,85,85,86,44,85,89,85,88,86,76,87,82,78,83,85,82,87,70,67,66,83,51,48,86,84,91,85,50,37,45,80,86,84,85,45,63
4366,204485,R. Mahrez,29,85,Algeria,Manchester City,RW,85,83,79,48,80,76,90,84,78,75,91,87,79,92,81,88,79,60,76,55,80,48,39,80,84,70,84,45,31,22,83,79,81,90,38,59
3009,193747,Koke,28,85,Spain,Atlético Madrid,CM,85,85,72,61,87,56,80,85,76,85,84,68,66,73,88,80,83,63,94,75,80,79,80,82,85,59,84,75,80,70,67,75,85,81,76,80
3401,198706,Luis Alberto,27,85,Spain,Lazio,CAM,85,76,77,49,90,76,86,86,81,89,88,76,72,81,80,74,77,53,75,64,76,29,55,80,88,56,78,58,68,45,74,76,86,85,58,59
909,164169,Filipe Luís,32,85,Brazil,Atlético Madrid,LWB,85,86,59,72,80,56,77,74,75,77,83,76,75,74,85,62,71,69,89,73,60,81,84,71,70,65,88,78,84,86,75,62,78,78,81,78
2433,189509,Thiago,29,85,Spain,Liverpool,CM,85,78,68,54,89,84,90,85,77,89,91,74,55,91,85,90,75,75,73,59,73,54,83,75,85,75,86,67,71,68,64,72,85,90,70,62
1632,180206,M. Pjanić,30,85,Bosnia Herzegovina,FC Barcelona,CM,85,81,56,60,90,72,86,86,92,87,89,68,66,75,84,81,78,59,81,59,82,70,78,68,88,79,86,78,76,70,67,68,87,85,75,67
3329,198219,L. Insigne,29,85,Italy,Napoli,LW,85,83,75,59,83,74,90,87,77,78,93,92,84,93,80,93,78,50,70,34,84,34,26,81,85,74,83,53,24,22,88,78,83,91,36,44
1920,184087,T. Alderweireld,31,85,Belgium,Tottenham Hotspur,CB,85,64,45,82,79,38,62,63,69,82,75,60,65,59,85,62,78,82,78,79,58,81,85,52,62,58,86,88,89,85,63,55,72,67,87,79
1749,182493,D. Godín,34,85,Uruguay,Cagliari,CB,85,52,42,85,79,47,53,49,49,70,74,59,55,57,74,53,67,89,62,85,43,85,87,48,52,50,80,90,86,84,57,48,64,61,87,79
2436,189513,Parejo,31,85,Spain,Villarreal CF,CM,85,86,83,61,92,72,82,88,93,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,50,83,90,81,71,69
11287,239085,E. Haaland,19,84,Norway,Borussia Dortmund,ST,92,46,87,67,74,82,75,77,62,49,78,80,88,75,83,67,93,70,78,91,83,82,41,86,68,80,83,45,38,30,84,87,63,76,43,85
9265,231478,L. Martínez,22,84,Argentina,Inter,ST,91,56,86,84,78,83,87,78,43,73,84,84,83,86,84,78,80,88,77,83,74,86,45,85,77,74,83,56,31,44,83,82,71,85,48,82
8856,230142,Oyarzabal,23,84,Spain,Real Sociedad,CAM,90,82,84,60,81,73,85,74,71,73,84,80,81,80,81,79,80,72,82,57,81,52,29,83,85,83,75,55,32,30,81,82,80,84,41,63
5628,212190,N. Süle,24,84,Germany,FC Bayern München,CB,89,34,22,86,78,33,43,28,30,69,63,52,83,33,81,32,77,38,63,93,62,83,81,26,57,32,75,85,88,87,69,42,59,49,85,81
9059,230658,Arthur,23,84,Brazil,Juventus,CM,89,73,70,58,88,63,87,76,60,84,89,68,65,79,85,90,78,68,76,68,76,75,77,75,86,69,90,76,79,70,66,73,82,87,75,71
5223,210035,Grimaldo,24,84,Spain,SL Benfica,LWB,88,84,52,66,81,61,84,85,81,79,83,86,84,84,83,86,79,64,90,63,79,69,81,75,68,54,83,75,78,79,85,65,79,84,77,71
5160,209658,L. Goretzka,25,84,Germany,FC Bayern München,CM,88,75,79,82,84,69,82,76,75,79,85,81,76,76,87,70,79,78,83,88,82,81,79,83,82,60,82,74,79,75,78,78,80,82,77,85
5860,213345,K. Coman,24,84,France,FC Bayern München,RM,88,77,76,52,78,77,88,81,70,73,87,94,93,88,84,84,80,73,66,64,73,36,23,83,79,70,76,29,27,21,93,76,77,87,29,59
8181,226790,W. Ndidi,23,84,Nigeria,Leicester City,CB,88,50,50,76,79,66,72,58,58,75,78,70,72,69,87,67,80,90,92,78,72,87,90,67,67,55,80,87,89,85,71,62,68,74,87,84
6437,216460,J. Giménez,25,84,Uruguay,Atlético Madrid,CB,88,47,37,78,70,30,50,36,44,62,60,65,69,54,79,40,72,90,64,90,48,89,85,24,27,38,75,88,87,86,67,45,53,54,86,83
5464,211300,A. Martial,24,84,France,Manchester United,ST,88,72,85,71,80,75,89,84,54,63,87,88,90,83,82,79,83,70,77,76,79,54,42,84,77,81,82,34,39,36,89,83,74,87,41,72
5630,212194,J. Brandt,24,84,Germany,Borussia Dortmund,CAM,88,81,77,54,84,79,88,77,65,85,86,77,85,84,83,83,81,64,80,71,80,38,47,80,85,54,84,48,55,57,81,78,82,87,51,66
4971,208421,Saúl,25,84,Spain,Atlético Madrid,CM,87,69,78,83,85,76,81,73,60,83,85,67,69,73,84,69,82,80,87,77,81,76,79,82,83,68,83,77,78,77,68,79,79,81,78,79
3318,198176,S. de Vrij,28,84,Netherlands,Inter,CB,85,49,25,82,73,27,66,45,16,71,73,69,68,61,81,59,65,76,64,78,60,80,86,32,64,41,82,88,87,85,68,41,62,68,86,75
3680,200458,L. Digne,26,84,France,Everton,LB,85,87,60,71,81,68,78,83,83,73,83,78,78,69,83,78,83,92,85,69,76,76,82,72,74,60,80,78,83,84,78,69,80,79,80,76
5700,212462,Alex Telles,27,84,Brazil,FC Porto,LB,85,89,65,67,83,67,82,87,79,87,82,84,85,73,83,70,87,80,91,68,83,78,80,75,76,81,78,80,81,79,85,74,83,81,79,76
5206,209989,T. Partey,27,84,Ghana,Atlético Madrid,CM,85,74,68,68,86,56,84,69,70,84,83,68,74,75,85,50,86,83,92,82,85,84,84,73,84,49,86,81,85,81,71,74,81,81,82,85
6409,216352,M. Brozović,27,84,Croatia,Inter,CDM,85,72,69,70,83,65,81,79,74,84,85,62,63,72,75,76,80,67,94,69,84,84,81,70,80,69,82,78,81,79,63,74,80,81,79,78
5194,209889,R. Guerreiro,26,84,Portugal,Borussia Dortmund,CAM,85,82,80,37,87,79,87,85,82,78,88,82,67,87,84,90,79,53,77,49,80,52,81,79,84,44,86,76,76,78,74,78,84,87,73,57
1443,177413,A. Witsel,31,84,Belgium,Borussia Dortmund,CDM,84,69,71,84,90,77,79,71,68,85,83,62,64,74,82,70,76,78,83,84,71,77,83,75,81,76,92,82,80,81,63,73,81,79,82,82
401,135507,Fernandinho,35,84,Brazil,Manchester City,CB,84,68,66,71,86,73,76,70,72,81,82,67,62,69,88,77,83,84,78,76,78,87,89,70,73,61,81,88,86,83,64,72,78,78,85,79
2831,192629,Iago Aspas,32,84,Spain,RC Celta,ST,84,80,89,77,79,83,87,79,80,68,86,78,86,90,84,72,79,66,69,60,81,63,39,84,79,82,85,39,21,18,82,85,78,86,35,63
3502,199451,W. Ben Yedder,29,84,France,AS Monaco,CF,84,74,88,74,82,84,87,80,76,66,87,86,82,91,86,89,83,79,68,63,71,55,44,90,80,80,84,34,33,26,84,83,77,87,39,63
2018,185020,José Callejón,33,84,Spain,Napoli,RM,84,82,78,65,80,84,82,73,65,51,85,86,89,84,82,80,78,70,88,53,80,54,40,88,78,62,79,64,32,32,88,78,75,83,47,63
569,146536,Jesús Navas,34,84,Spain,Sevilla FC,RB,84,83,66,75,81,75,84,82,46,75,83,90,84,81,84,84,75,63,81,39,70,75,83,81,80,56,81,81,78,80,87,69,79,83,80,58
1960,184432,Azpilicueta,30,84,Spain,Chelsea,RB,84,81,46,75,78,51,67,68,58,80,77,68,66,72,86,73,68,79,81,70,60,86,85,62,74,66,78,85,85,85,67,55,77,72,84,76
2968,193474,I. Gueye,30,84,Senegal,Paris Saint-Germain,CDM,84,60,53,69,81,32,76,49,61,77,79,70,69,81,83,81,80,89,91,69,66,86,89,69,68,54,83,84,90,83,69,61,71,78,85,79
3238,197445,D. Alaba,28,84,Austria,FC Bayern München,CB,84,80,60,76,85,67,77,77,85,79,83,78,77,76,88,77,82,83,75,76,78,74,84,73,78,79,84,85,83,82,77,70,81,79,83,76
3251,197781,Isco,28,84,Spain,Real Madrid,CAM,84,78,76,55,84,67,92,88,76,81,91,71,65,83,74,90,69,61,61,59,81,58,61,76,83,76,85,58,64,51,68,75,82,90,59,59
2561,190483,Douglas Costa,29,84,Brazil,Juventus,LM,84,82,64,50,83,76,92,84,78,65,91,94,93,92,80,91,86,60,68,56,80,55,48,74,80,77,80,45,38,34,93,73,79,91,43,59
4435,204838,R. Jiménez,29,84,Mexico,Wolverhampton Wanderers,ST,84,73,84,85,81,82,84,75,51,75,83,73,82,75,83,68,83,75,86,84,74,81,53,84,78,92,81,53,38,30,78,82,76,82,49,83
2907,193165,J. Corona,27,84,Mexico,Mexico,RM,84,84,69,71,79,75,89,85,67,68,86,88,81,91,84,87,66,71,89,39,63,73,78,79,78,68,85,77,77,76,84,68,78,88,77,60
3277,197965,Pizzi,30,84,Portugal,Portugal,RM,84,80,78,45,85,78,83,83,77,83,85,78,73,77,83,77,76,67,85,59,77,67,72,85,86,78,85,69,67,52,75,78,83,83,65,68
1350,176266,Lucas Leiva,33,84,Brazil,Lazio,CDM,84,63,62,72,82,59,77,74,47,81,79,62,58,77,82,80,77,81,80,61,66,83,87,66,81,61,86,82,84,81,60,66,76,78,83,71
4867,207863,Felipe,31,84,Brazil,Atlético Madrid,CB,84,45,39,84,73,44,57,32,30,69,63,58,66,65,83,55,46,90,76,89,41,92,87,34,50,47,75,87,86,83,62,41,58,61,86,86
5454,211256,N. Tagliafico,27,84,Argentina,Ajax,LB,84,82,57,84,78,44,73,68,40,67,77,81,82,77,84,82,66,90,85,73,47,84,82,70,69,46,82,84,80,81,82,56,73,76,82,79
1266,173210,C. Marchisio,31,84,Italy,Juventus,CM,84,76,56,64,87,76,84,78,78,83,85,78,78,81,80,79,80,68,77,72,80,78,78,78,84,78,84,70,78,78,78,69,83,84,74,74
